        Weight Percent (W.%),Height (in),Thickness (mm),Diameter (mm),Crater Diameter From Outer Edges (mm),When Breakup Starts (Frame),Breakup Location,Inflection Point?,Retraction?,Category,Comments,,,,,,,Crater Diameter From Outer Edges (mm) (not corrected)
0.10,13.0,0.5,10.0,39.3,129,B,N,N,BUP,Bad Test,,,Stuck,,,,47.10
0.10,13.0,0.5,15.0,44.8,130,B,N,N,BUP,,,,Stick,,,,53.70
0.10,13.0,0.5,20.0,62.3,143,B,N,N,BUP,BAD Droplet,,,Fall,,,,74.80
0.10,13.0,0.5,25.0,78.1,159,B,N,N,BUP,,,,Ring,,,,93.70
0.10,13.0,1.5,10.0,35.1,N,N,N,N,Fall,,,,SD - String Dissipate,,,,42.10
0.10,13.0,1.5,15.0,38.8,N,N,N,N,Fall,,,,DIS - Dissipate,,,,46.50
0.10,13.0,1.5,20.0,63.8,213,B,Y,N,Fall,Concavity Change,,,BUP - Bottom up (dissipate),,,,76.50
0.10,13.0,1.5,25.0,99.3,197,B,N,N,Fall,,,,,,,,119.10
0.10,13.0,3.0,10.0,36.8,N,N,N,N,Stick,Bad Drop,,,,,,,44.10
0.10,13.0,3.0,15.0,46.2,N,N,N,N,Stick,,,,,,,,55.40
0.10,13.0,3.0,20.0,68.8,N,N,Y,N,Fall,Concavity Change,,,,,,,82.60
0.10,13.0,3.0,25.0,94.2,209,B,N,N,Fall,Not Smooth Impact Surface,,,,,,,113
0.10,13.0,4.0,10.0,34.2,N,N,N,N,Stick,,,,,,,,41
0.10,13.0,4.0,15.0,46.3,N,N,N,N,Stick,,,,,,,,55.50
0.10,13.0,4.0,20.0,65.3,N,N,N,N,Stick,Bad Droplet,,,,,,,78.30
0.10,13.0,4.0,25.0,92.8,N,N,N,N,Fall,"Concavity Change, Sheet held, Big",,,,,,,111.40
0.10,29.0,0.5,10.0,49.8,95,B,N,N,BUP,Changed calibration,,,,,,,59.80
0.10,29.0,0.5,15.0,67.3,101,B,N,N,BUP,,,,,,,,80.80
0.10,29.0,0.5,20.0,58.2,106,B,N,N,BUP,Sideways Droplet,,,,,,,69.80
0.10,29.0,0.5,25.0,77.2,119,B,N,N,BUP,Spreading Outwards,,,,,,,92.60
0.10,29.0,1.5,10.0,41.3,N,N,N,Sheet,Fall,Sheet Retraction,,,,,,,49.60
0.10,29.0,1.5,15.0,66.7,123,M,N,N,SD,,,,,,,,80
0.10,29.0,1.5,20.0,86.6,158,B,N,N,BUP,,,,,,,,103.90
0.10,29.0,1.5,25.0,81.6,174,B,N,N,BUP,,,,,,,,97.90
0.10,29.0,3.0,10.0,48.8,N,N,N,N,Stick,,,,,,,,58.50
0.10,29.0,3.0,15.0,72.7,182,M,N,N,Fall,,,,,,,,87.20
0.10,29.0,3.0,20.0,81.1,Prob,M,Y,N,Fall,"Rising Silo, Hit edge",,,,,,,97.30
0.10,29.0,3.0,25.0,110.6,Prob,T,N,N,Fall,Hit Edge,,,,,,,132.70
0.10,29.0,4.0,10.0,52.3,N,N,N,N,Stick,,,,,,,,62.80
0.10,29.0,4.0,15.0,70.2,T,T,N,N,Fall,,,,,,,,84.20
0.10,29.0,4.0,20.0,82.6,"3,247",T,N,N,Fall,Hit Edge,,,,,,,99.10
0.10,29.0,4.0,25.0,107.4,224,M,Y,N,Fall,Hit Edge,,,,,,,128.90
0.10,52.0,0.5,10.0,42.6,84,B,N,N,BUP,,,,,,,,51.10
0.10,52.0,0.5,15.0,56.5,95,B,N,N,BUP,,,,,,,,67.80
0.10,52.0,0.5,20.0,68.2,106,B,N,N,BUP,,,,,,,,81.80
0.10,52.0,0.5,25.0,88.2,113,B,N,N,BUP,,,,,,,,105.80
0.10,52.0,1.5,10.0,51.8,104,T,N,N,Fall,,,,,,,,62.20
0.10,52.0,1.5,15.0,48.5,108,B,N,N,Fall,,,,,,,,58.20
0.10,52.0,1.5,20.0,69.3,117,M,Y,N,SD,,,,,,,,83.20
0.10,52.0,1.5,25.0,85.7,157,B,N,N,BUP,,,,,,,,102.80
0.10,52.0,3.0,10.0,51.8,N,N,N,Sheet,Fall,,,,,,,,62.20
0.10,52.0,3.0,15.0,71.1,178,T,N,N,Fall,,,,,,,,85.30
0.10,52.0,3.0,20.0,92.0,107,M,N,N,SD,,,,,,,,110.40
0.10,52.0,3.0,25.0,108.9,174,M,Y,N,SD,,,,,,,,130.70
0.10,52.0,4.0,10.0,55.9,136,T,N,Sheet,Stick,Sheet Falls on center,,,,,,,67.10
0.10,52.0,4.0,15.0,74.5,168,M,Y,Sheet,Stick,Sheet Falls on center,,,,,,,89.40
0.10,52.0,4.0,20.0,96.7,123,M,Y,Sheet,Stick,Sheet Falls on center,,,,,,,116
0.10,52.0,4.0,25.0,122.9,189,M,Y,N,SD,,,,,,,,147.50
0.10,81.0,0.5,10.0,37.8,54,B,N,N,BUP,,,,,,,,45.40
0.10,81.0,0.5,15.0,57.3,81,B,N,N,BUP,Cool Sheet Expansion,,,,,,,68.70
0.10,81.0,0.5,20.0,74.3,90,B,N,N,BUP,,,,,,,,89.20
0.10,81.0,0.5,25.0,96.2,91,B,N,N,BUP,Wide,,,,,,,115.40
0.10,81.0,1.5,10.0,54.3,107,T,N,N,SD,,,,,,,,65.10
0.10,81.0,1.5,15.0,56.7,97,T,Y,N,SD,,,,,,,,68
0.10,81.0,1.5,20.0,74.9,104,M,N,N,SD,,,,,,,,89.90
0.10,81.0,1.5,25.0,101.5,105,B,N,N,BUP,BAD - Half of Droplet Off Surface,,,,,,,121.80
0.10,81.0,3.0,10.0,59.7,N,N,N,Sheet,SD,,,,,,,,71.60
0.10,81.0,3.0,15.0,82.1,192,T,N,N,SD,,,,,,,,98.50
0.10,81.0,3.0,20.0,96.8,159,M,Y,N,SD,Silo,,,,,,,116.10
0.10,81.0,3.0,25.0,113.3,146,M,N,N,SD,BAD - Half of Droplet Off Surface,,,,,,,136
0.10,81.0,4.0,10.0,57.2,N,N,N,Sheet,Stick,Sheet Stick,,,,,,,68.60
0.10,81.0,4.0,15.0,75.5,117,M,Y,Sheet,SD,Lop-sided droplet,,,,,,,90.60
0.10,81.0,4.0,20.0,92.6,211,M,N,N,SD,,,,,,,,111.10
0.10,81.0,4.0,25.0,109.8,587,M,Y,N,SD,,,,,,,,131.70
0.15,13.0,0.5,10.0,32.8,97,T,N,N,OUT,,,,,,,,39.30
0.15,13.0,0.5,15.0,40.0,140,B,N,N,OUT,,,,,,,,48
0.15,13.0,0.5,20.0,46.6,119,B,N,N,OUT,,,,,,,,55.90
0.15,13.0,0.5,25.0,57.3,156,B,T,N,BUP,,,,,,,,68.80
0.15,13.0,1.5,10.0,30.9,N,N,N,N,Stick,,,,,,,,37.10
0.15,13.0,1.5,15.0,42.8,N,N,N,N,Stick,,,,,,,,51.30
0.15,13.0,1.5,20.0,51.4,198,M,Y,N,Fall,Sheet Changes Concavity,,,,,,,61.70
0.15,13.0,1.5,25.0,67.3,196,M,N,N,Fall,Fall Over,,,,,,,80.80
0.15,13.0,3.0,10.0,33.7,N,N,N,N,Stick,,,,,,,,40.40
0.15,13.0,3.0,15.0,44.6,N,N,N,N,Stick,,,,,,,,53.50
0.15,13.0,3.0,20.0,53.8,194,M,N,N,Fall,,,,,,,,64.50
0.15,13.0,3.0,25.0,68.3,N,N,N,N,Fall,,,,,,,,81.90
0.15,13.0,4.0,10.0,31.4,N,N,N,N,Stick,,,,,,,,37.70
0.15,13.0,4.0,15.0,46.4,N,N,N,N,Stick,,,,,,,,55.70
0.15,13.0,4.0,20.0,56.9,N,N,N,N,Stick,,,,,,,,68.30
0.15,13.0,4.0,25.0,62.3,N,N,N,N,Stick,,,,,,,,74.80
0.15,29.0,0.5,10.0,21.0,94,B,N,N,BUP,,,,,,,,25.20
0.15,29.0,0.5,15.0,44.8,103,B,Y,N,BUP,,,,,,,,53.80
0.15,29.0,0.5,20.0,55.4,101,B,N,N,BUP,,,,,,,,66.50
0.15,29.0,0.5,25.0,67.9,120,B,N,N,BUP,,,,,,,,81.50
0.15,29.0,1.5,10.0,33.8,N,N,N,Sheet,Stick,,,,,,,,40.50
0.15,29.0,1.5,15.0,50.3,129,M,N,N,SD,,,,,,,,60.40
0.15,29.0,1.5,20.0,55.3,128,M,N,N,SD,,,,,,,,66.40
0.15,29.0,1.5,25.0,67.0,144,M,Y,N,SD,,,,,,,,80.40
0.15,29.0,3.0,10.0,38.3,N,N,N,N,Stick,,,,,,,,45.90
0.15,29.0,3.0,15.0,51.8,204,M,N,Sheet,Fall,,,,,,,,62.20
0.15,29.0,3.0,20.0,67.4,181,M,N,N,Fall,,,,,,,,80.90
0.15,29.0,3.0,25.0,78.1,144,M,N,N,Fall,,,,,,,,93.70
0.15,29.0,4.0,10.0,40.8,N,N,N,N,Stick,,,,,,,,48.90
0.15,29.0,4.0,15.0,54.8,N,N,N,N,Stick,,,,,,,,65.80
0.15,29.0,4.0,20.0,68.5,180,M,N,N,Fall,,,,,,,,82.20
0.15,29.0,4.0,25.0,80.5,136,M,N,N,Fall,,,,,,,,96.60
0.15,52.0,0.5,10.0,32.1,72,M,N,N,DIS,,,,,,,,38.50
0.15,52.0,0.5,15.0,42.5,73,M,N,N,DIS,,,,,,,,51
0.15,52.0,0.5,20.0,56.0,76,M,N,N,DIS,,,,,,,,67.20
0.15,52.0,0.5,25.0,65.8,89,T,N,N,DIS,,,,,,,,79
0.15,52.0,1.5,10.0,35.0,97,M,N,N,Ring,,,,,,,,42
0.15,52.0,1.5,15.0,48.9,97,M,N,N,DIS,,,,,,,,58.70
0.15,52.0,1.5,20.0,63.0,90,M,N,N,DIS,,,,,,,,75.60
0.15,52.0,1.5,25.0,74.6,97,M,N,N,DIS,,,,,,,,89.50
0.15,52.0,3.0,10.0,40.8,N,N,N,N,Stick,Higher Stick,,,,,,,49
0.15,52.0,3.0,15.0,53.6,121,M,N,N,Ring,,,,,,,,64.30
0.15,52.0,3.0,20.0,68.1,135,M,N,N,Ring,,,,,,,,81.70
0.15,52.0,3.0,25.0,81.6,137,M,N,N,Ring,,,,,,,,97.90
0.15,52.0,4.0,10.0,41.3,N,N,N,N,Stick,,,,,,,,49.60
0.15,52.0,4.0,15.0,56.5,N,N,N,N,Stick,Castle,,,,,,,67.80
0.15,52.0,4.0,20.0,74.5,129,M,N,N,Fall,Droplet on edge,,,,,,,89.40
0.15,52.0,4.0,25.0,86.8,132,M,Y,N,Ring,,,,,,,,104.20
0.15,81.0,0.5,10.0,33.6,54,T,N,N,DIS,,,,,,,,40.30
0.15,81.0,0.5,15.0,46.0,55,T,N,N,DIS,,,,,,,,55.20
0.15,81.0,0.5,20.0,59.0,59,T,N,N,DIS,,,,,,,,70.80
0.15,81.0,0.5,25.0,71.4,74,T,N,N,DIS,,,,,,,,85.70
0.15,81.0,1.5,10.0,39.5,83,N,N,N,DIS,,,,,,,,47.40
0.15,81.0,1.5,15.0,51.9,84,M,N,N,DIS,"Droplet on edge, Bad test",,,,,,,62.30
0.15,81.0,1.5,20.0,69.7,90,M,N,N,DIS,,,,,,,,83.60
0.15,81.0,1.5,25.0,80.2,85,M,N,N,DIS,,,,,,,,96.20
0.15,81.0,3.0,10.0,44.8,129,M,N,Sheet,Stick,,,,,,,,53.80
0.15,81.0,3.0,15.0,56.7,91,M,N,N,SD,,,,,,,,68
0.15,81.0,3.0,20.0,70.8,115,M,N,N,DIS,,,,,,,,85
0.15,81.0,3.0,25.0,75.5,98,M,Y,N,SD,Horrible test,,,,,,,90.60
0.15,81.0,4.0,10.0,47.9,N,N,N,N,Stick,Castle,,,,,,,57.50
0.15,81.0,4.0,15.0,60.8,142,M,N,N,Ring,Droplet on Edge,,,,,,,72.90
0.15,81.0,4.0,20.0,76.7,145,M,N,N,Ring,,,,,,,,92
0.15,81.0,4.0,25.0,82.7,107,M,Y,N,SD,"Horrible Test, Droplet on Edge",,,,,,,99.20
0.25,13.0,0.5,10.0,23.1,N,N,N,N,Stuck,,,,,,,,27.70
0.25,13.0,0.5,15.0,38.8,N,N,N,N,Stuck,,,,,,,,46.50
0.25,13.0,0.5,20.0,49.8,N,N,N,N,Stuck,,,,,,,,59.80
0.25,13.0,0.5,25.0,55.9,N,N,N,N,Stuck,,,,,,,,67.10
0.25,13.0,1.5,10.0,20.3,N,N,N,N,Stuck,,,,,,,,24.40
0.25,13.0,1.5,15.0,31.4,N,N,N,N,Stuck,Bad Droplet,,,,,,,37.70
0.25,13.0,1.5,20.0,43.4,N,N,N,N,Stuck,,,,,,,,52.10
0.25,13.0,1.5,25.0,56.3,N,N,N,N,Stuck,,,,,,,,67.60
0.25,13.0,3.0,10.0,21.3,N,N,N,N,Stuck,,,,,,,,25.60
0.25,13.0,3.0,15.0,30.5,N,N,N,N,Stuck,,,,,,,,36.60
0.25,13.0,3.0,20.0,40.2,N,N,N,N,Stuck,,,,,,,,48.20
0.25,13.0,3.0,25.0,45.8,N,N,N,N,Stuck,,,,,,,,54.90
0.25,13.0,4.0,10.0,25.3,N,N,N,N,Stuck,,,,,,,,30.40
0.25,13.0,4.0,15.0,30.0,N,N,N,N,Stuck,,,,,,,,36
0.25,13.0,4.0,20.0,36.0,N,N,N,N,Stuck,,,,,,,,43.20
0.25,13.0,4.0,25.0,49.0,N,N,N,N,Stuck,Vertical End,,,,,,,58.80
0.25,29.0,0.5,10.0,27.8,N,N,N,N,Stuck,,,,,,,,33.40
0.25,29.0,0.5,15.0,34.3,88,M,N,N,Fall,Transition,,,,,,,41.20
0.25,29.0,0.5,20.0,46.8,84,M,N,N,Fall,Transition,,,,,,,56.10
0.25,29.0,0.5,25.0,57.8,87,M,N,N,SD,,,,,,,,69.30
0.25,29.0,1.5,10.0,27.3,N,N,N,N,Stuck,,,,,,,,32.80
0.25,29.0,1.5,15.0,37.8,N,N,N,N,Stick,,,,,,,,45.30
0.25,29.0,1.5,20.0,45.8,N,N,N,N,Stick,,,,,,,,54.90
0.25,29.0,1.5,25.0,58.8,113,M,N,N,Fall,Transition,,,,,,,70.50
0.25,29.0,3.0,10.0,24.9,N,N,N,N,Stuck,,,,,,,,29.90
0.25,29.0,3.0,15.0,41.8,N,N,N,N,Stuck,,,,,,,,50.10
0.25,29.0,3.0,20.0,51.3,N,N,N,N,Stuck,,,,,,,,61.50
0.25,29.0,3.0,25.0,69.2,81,T,N,N,Stuck,,,,,,,,83
0.25,29.0,4.0,10.0,26.3,N,N,N,N,Stuck,,,,,,,,31.60
0.25,29.0,4.0,15.0,40.8,N,N,N,N,Stuck,,,,,,,,49
0.25,29.0,4.0,20.0,56.7,N,N,N,N,Stuck,,,,,,,,68
0.25,29.0,4.0,25.0,60.4,N,N,N,N,Stuck,,,,,,,,72.50
0.25,52.0,0.5,10.0,26.8,67,M,N,N,DIS,,,,,,,,32.20
0.25,52.0,0.5,15.0,40.2,73,M,N,N,DIS,,,,,,,,48.20
0.25,52.0,0.5,20.0,47.8,79,M,N,N,DIS,,,,,,,,57.30
0.25,52.0,0.5,25.0,58.3,77,M,N,N,DIS,,,,,,,,69.90
0.25,52.0,1.5,10.0,30.8,N,N,N,N,Stuck,,,,,,,,37
0.25,52.0,1.5,15.0,40.2,99,N,N,N,Stuck,,,,,,,,48.20
0.25,52.0,1.5,20.0,53.6,80,M,N,N,SD,,,,,,,,64.30
0.25,52.0,1.5,25.0,64.7,98,M,N,N,SD,,,,,,,,77.60
0.25,52.0,3.0,10.0,35.0,N,N,N,N,Stuck,,,,,,,,42
0.25,52.0,3.0,15.0,43.1,N,N,N,N,Stuck,,,,,,,,51.70
0.25,52.0,3.0,20.0,55.9,N,N,N,N,Stuck,,,,,,,,67.10
0.25,52.0,3.0,25.0,68.7,130,M,N,N,Fall,,,,,,,,82.40
0.25,52.0,4.0,10.0,33.2,N,N,N,N,Stuck,,,,,,,,39.80
0.25,52.0,4.0,15.0,49.5,N,N,N,N,Stuck,,,,,,,,59.40
0.25,52.0,4.0,20.0,61.8,N,N,N,N,Stuck,,,,,,,,74.20
0.25,52.0,4.0,25.0,71.7,N,N,N,N,Stuck,Small Inflection?,,,,,,,86
0.25,81.0,0.5,10.0,30.7,55,M,N,N,DIS,,,,,,,,36.80
0.25,81.0,0.5,15.0,40.8,56,M,N,N,DIS,,,,,,,,48.90
0.25,81.0,0.5,20.0,50.1,60,M,N,N,DIS,,,,,,,,60.10
0.25,81.0,0.5,25.0,63.8,55,M,N,N,DIS,,,,,,,,76.50
0.25,81.0,1.5,10.0,33.1,68,M,N,Sheet,Stick,,,,,,,,39.70
0.25,81.0,1.5,15.0,45.4,71,M,N,N,SD,,,,,,,,54.50
0.25,81.0,1.5,20.0,59.0,78,M,N,N,SD,,,,,,,,70.80
0.25,81.0,1.5,25.0,70.8,76,M,N,N,SD,,,,,,,,85
0.25,81.0,3.0,10.0,37.8,N,N,N,N,Stuck,,,,,,,,45.30
0.25,81.0,3.0,15.0,48.9,N,N,N,N,Stick,Castle,,,,,,,58.70
0.25,81.0,3.0,20.0,63.2,97,M,N,N,Ring,,,,,,,,75.80
0.25,81.0,3.0,25.0,75.3,88,M,N,N,Ring,,,,,,,,90.40
0.25,81.0,4.0,10.0,46.1,N,N,N,N,Stuck,,,,,,,,55.30
0.25,81.0,4.0,15.0,53.7,N,N,Y,N,Stuck,,,,,,,,64.40
0.25,81.0,4.0,20.0,70.2,N,N,Y,N,Stick,,,,,,,,84.20
0.25,81.0,4.0,25.0,79.7,94,M,Y,N,SD,,,,,,,,95.60
1.00,13.0,0.5,10.0,13.5,N,N,N,Y,Stuck,Fill back,,,,,,,16.20
1.00,13.0,0.5,15.0,24.0,N,N,N,Y,Stuck,Fill back,,,,,,,28.80
1.00,13.0,0.5,20.0,32.8,N,N,N,Y,Stuck,Fill back,,,,,,,39.30
1.00,13.0,0.5,25.0,42.0,N,N,N,Y,Stuck,Fill back,,,,,,,50.40
1.00,13.0,1.5,10.0,16.1,N,N,N,Y,Stuck,Fill back,,,,,,,19.30
1.00,13.0,1.5,15.0,24.0,N,N,N,Y,Stuck,Fill back,,,,,,,28.80
1.00,13.0,1.5,20.0,30.0,N,N,N,Y,Stuck,Fill back,,,,,,,36
1.00,13.0,1.5,25.0,37.9,N,N,N,Y,Stuck,Fill Back,,,,,,,45.50
1.00,13.0,3.0,10.0,16.1,N,N,N,Y,Stuck,Boing,,,,,,,19.30
1.00,13.0,3.0,15.0,22.7,N,N,N,Y,Stuck,Boing,,,,,,,27.20
1.00,13.0,3.0,20.0,30.4,N,N,N,Y,Stuck,Fill back,,,,,,,36.50
1.00,13.0,3.0,25.0,41.5,N,N,N,Y,Stuck,Fill back,,,,,,,49.80
1.00,13.0,4.0,10.0,14.3,N,N,N,Y,Stuck,Great boing,,,,,,,17.20
1.00,13.0,4.0,15.0,18.5,N,N,N,Y,Stuck,Boing,,,,,,,22.20
1.00,13.0,4.0,20.0,35.6,N,N,N,Y,Stuck,Fill Back,,,,,,,42.70
1.00,13.0,4.0,25.0,41.1,N,N,N,Y,Stuck,Fill Back,,,,,,,49.30
1.00,29.0,0.5,10.0,18.5,N,N,N,Y,Stuck,Fill Back,,,,,,,22.20
1.00,29.0,0.5,15.0,28.3,N,N,N,Y,Stuck,Tiny retraction,,,,,,,34
1.00,29.0,0.5,20.0,41.8,N,N,N,Y,Stuck,Tiny retraction,,,,,,,50.20
1.00,29.0,0.5,25.0,58.2,N,N,N,Y,Stuck,Tiny retraction,,,,,,,69.80
1.00,29.0,1.5,10.0,17.4,N,N,N,Y,Stuck,Fill back,,,,,,,20.90
1.00,29.0,1.5,15.0,28.3,N,N,N,Y,Stuck,Tiny retraction,,,,,,,34
1.00,29.0,1.5,20.0,42.3,N,N,N,Y,Stuck,Tiny retraction,,,,,,,50.80
1.00,29.0,1.5,25.0,55.2,N,N,N,Y,Stuck,Tiny retraction,,,,,,,66.20
1.00,29.0,3.0,10.0,20.4,N,N,N,Y,Stuck,Fill back,,,,,,,24.50
1.00,29.0,3.0,15.0,27.4,N,N,N,Y,Stuck,Fill back,,,,,,,32.90
1.00,29.0,3.0,20.0,42.3,N,N,N,Y,Stuck,Tiny retraction,,,,,,,50.70
1.00,29.0,3.0,25.0,55.3,N,N,N,Y,Stuck,Tiny retraction,,,,,,,66.30
1.00,29.0,4.0,10.0,19.9,N,N,N,Y,Stuck,Boing,,,,,,,23.90
1.00,29.0,4.0,15.0,30.3,N,N,N,Y,Stuck,Fill back,,,,,,,36.40
1.00,29.0,4.0,20.0,41.8,N,N,N,Y,Stuck,Fill back,,,,,,,50.20
1.00,29.0,4.0,25.0,51.8,N,N,N,Y,Stuck,Tiny retraction,,,,,,,62.10
1.00,52.0,0.5,10.0,23.9,N,N,N,N,Stuck,,,,,,,,28.70
1.00,52.0,0.5,15.0,40.2,N,N,N,N,Stuck,,,,,,,,48.20
1.00,52.0,0.5,20.0,54.8,N,N,N,Y,Stuck,Tiny retraction,,,,,,,65.70
1.00,52.0,0.5,25.0,73.9,N,N,N,Y,Stuck,Tiny retraction,,,,,,,88.70
1.00,52.0,1.5,10.0,23.9,N,N,N,Y,Stuck,Tiny retraction,,,,,,,28.70
1.00,52.0,1.5,15.0,40.2,N,N,N,Y,Stuck,Tiny retraction,,,,,,,48.20
1.00,52.0,1.5,20.0,61.2,N,N,N,N,Stuck,,,,,,,,73.40
1.00,52.0,1.5,25.0,79.3,N,N,N,N,Stuck,,,,,,,,95.10
1.00,52.0,3.0,10.0,23.3,N,N,N,Y,Stuck,Flat,,,,,,,28
1.00,52.0,3.0,15.0,37.3,N,N,N,Y,Stuck,Fill back,,,,,,,44.70
1.00,52.0,3.0,20.0,57.7,N,N,N,N,Stuck,,,,,,,,69.20
1.00,52.0,3.0,25.0,73.4,N,N,N,N,Stuck,,,,,,,,88.10
1.00,52.0,4.0,10.0,30.8,N,N,N,Y,Stuck,Flat,,,,,,,37
1.00,52.0,4.0,15.0,36.2,N,N,N,Y,Stuck,Fill back,,,,,,,43.40
1.00,52.0,4.0,20.0,56.5,N,N,N,N,Stuck,,,,,,,,67.80
1.00,52.0,4.0,25.0,71.6,N,N,N,N,Stuck,,,,,,,,85.90
1.00,81.0,0.5,10.0,30.1,N,N,N,N,Stuck,,,,,,,,36.10
1.00,81.0,0.5,15.0,37.9,N,N,N,Y,Stuck,,,,,,,,45.50
1.00,81.0,0.5,20.0,58.8,N,N,N,Y,Stuck,Sheet retraction,,,,,,,70.50
1.00,81.0,0.5,25.0,77.2,94,M,N,Y,Stick,Sheet retraction,,,,,,,92.60
1.00,81.0,1.5,10.0,33.0,N,N,N,N,Stuck,,,,,,,,39.60
1.00,81.0,1.5,15.0,47.2,N,N,N,N,Stuck,,,,,,,,56.60
1.00,81.0,1.5,20.0,68.4,N,N,N,Y,Stuck,Sheet retraction,,,,,,,82.10
1.00,81.0,1.5,25.0,82.6,N,N,Y,Y,Stuck,Sheet retraction,,,,,,,99.10
1.00,81.0,3.0,10.0,33.1,N,N,N,Y,Stuck,Fill back,,,,,,,39.70
1.00,81.0,3.0,15.0,45.4,N,N,N,N,Stuck,,,,,,,,54.50
1.00,81.0,3.0,20.0,61.9,N,N,N,N,Stuck,,,,,,,,74.30
1.00,81.0,3.0,25.0,88.7,N,N,Y,N,Stuck,,,,,,,,106.40
1.00,81.0,4.0,10.0,29.5,N,N,N,Y,Stuck,Fill back,,,,,,,35.40
1.00,81.0,4.0,15.0,49.6,N,N,N,N,Stuck,,,,,,,,59.50
1.00,81.0,4.0,20.0,61.9,N,N,N,N,Stuck,,,,,,,,74.30
1.00,81.0,4.0,25.0,90.8,N,N,N,N,Stuck,,,,,,,,109
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,